ElTorque,ShTorque,Bicep,Tricep,AntDel,MedDel,PosDel,Pec,LowerTrap,MidTrap,Task,TrialNr,Su,Arm
7.932122369999972,3.4577022839999936,0.08696377451757244,0.034794623023935115,0.05129120703207356,0.018077226967583113,0.059187111171738166,0.013669517920538611,0.1425685011867223,0.07051876639874655,10%,1.0,c04,Right
7.517144455999988,3.237001070000021,0.12060981292845403,0.03629360354340339,0.05309349598226411,0.018756750666668674,0.0520208280579193,0.012655221831873701,0.13373873246529358,0.06011099355238887,10%,2.0,c04,Right
7.79649594999997,3.3585195200000046,0.11496103504084249,0.034186264041241546,0.028422756438995934,0.012082732727649708,0.033633396218826855,0.01076880011924794,0.13645962001023873,0.0375792631950547,10%,3.0,c04,Right
7.404333861999973,3.493297122000004,0.06796181421517405,0.026434052122909512,0.03819814532211832,0.014635938438957361,0.034383860309635444,0.010906375002295587,0.1450221487375645,0.039805939275727516,10%,4.0,c04,Right
7.562945913999968,3.586447580000033,0.06286049397286825,0.030988672631174306,0.028160963993015896,0.01505730707415434,0.03590725153003879,0.008260764450591923,0.11822910664405034,0.03883126685367975,10%,5.0,c04,Right
7.65707654999998,3.715010128000026,0.05977728896101622,0.030874020387520965,0.04004253865015171,0.014814154771163848,0.03636962884962393,0.008270812897342585,0.14155859052787928,0.04096835663935966,10%,6.0,c04,Right
7.788227720000005,3.6596128500000207,0.10122104383111805,0.03498214754714206,0.06882251367054172,0.01828216599337699,0.03731321771647249,0.011174646394242193,0.1278679752818518,0.042098939043238456,10%,7.0,c04,Right
7.549362105999969,3.539022697999957,0.09255987576990224,0.032954133473480925,0.05476779555985683,0.013609239544552381,0.036794031819296184,0.009529002362600746,0.08144757444644007,0.042425422414852684,10%,8.0,c04,Right
7.669989263999995,3.627073170000022,0.08625625739620237,0.03695088930647526,0.06328578094633722,0.01902110122324408,0.0439526523726692,0.013196371047698947,0.11796461887034797,0.051050644639459915,10%,9.0,c04,Right
7.392535380000004,3.4907642499999696,0.08353092341388667,0.031677308722572795,0.07410869441233779,0.02063724519418711,0.04358889153025265,0.00928048564082082,0.09647052734147911,0.0524501284221725,10%,10.0,c04,Right
7.774305619999964,10.59944975200005,0.10504033161446949,0.052147338154471014,0.11536353860059927,0.0323691731063157,0.05538957964188716,0.010965145653243757,0.1700207181429359,0.06262243539552267,30%,1.0,c04,Right
8.015656485999969,10.168374544000079,0.12078612918635662,0.04058461437432662,0.08857758563884993,0.026927684801933593,0.05113011290588206,0.011906072504189479,0.16693712923235238,0.06581067137457593,30%,2.0,c04,Right
7.671018960000016,10.37370604999999,0.06679244815384411,0.0619637367732176,0.1329989857229743,0.04799279561829761,0.07198458994774612,0.01171296776080012,0.18868586001484153,0.07460952755561304,30%,3.0,c04,Right
7.5991248999999845,11.499402468000103,0.09389208612225157,0.06314665514794197,0.13264993274852882,0.04858612646658213,0.07233701989540867,0.012273843883261781,0.2642270959193376,0.08507922744412698,30%,4.0,c04,Right
7.4326815919999465,11.687047999999857,0.065503549086428,0.07727114016926091,0.14525446541707215,0.056768001801799306,0.09046286402084336,0.01251184560481005,0.18070649603394678,0.08442734799387129,30%,5.0,c04,Right
7.915862675999954,11.470022887999969,0.114940645438558,0.0677952226750508,0.14362097967707418,0.0506961307566997,0.08976175992061876,0.01256841675385663,0.1818825960243101,0.09359601802864902,30%,6.0,c04,Right
7.527892147999983,11.538208759999938,0.08728546346868254,0.05891139566329281,0.13979227752897827,0.04123899647665768,0.07786992011914501,0.013095531267859156,0.17765876528858415,0.09359549554924428,30%,7.0,c04,Right
8.011603413999989,10.562391000000055,0.0707460258881802,0.07102766741965359,0.15252756397647654,0.05922415462008715,0.08974655109988598,0.01182180838655744,0.17225438570059415,0.09410427606356656,30%,8.0,c04,Right
7.783314736000051,10.376060596000016,0.08873146678958724,0.05822795013066146,0.10446898342454904,0.03952485837444234,0.07522473559563017,0.01372015369521473,0.1475470520378412,0.08774505926302387,30%,9.0,c04,Right
7.82379638999999,11.524510116000078,0.09086638413139207,0.059020210604839536,0.13299107186973874,0.042309703508926905,0.07047617600392088,0.013815901661468195,0.16818020813434822,0.09868216273901247,30%,10.0,c04,Right
7.806046184000044,17.874209220000036,0.12090970995703021,0.11185424118774587,0.22279620820430351,0.07264547016245727,0.11722897827071758,0.020916786123924256,0.26543284982057164,0.10423188330502653,50%,1.0,c04,Right
8.045395101999981,16.961382999999888,0.12691496931066348,0.10224039221825358,0.19692716594360837,0.0807290859221913,0.13427897099890823,0.027727309077092314,0.2038477490143263,0.09557182234601633,50%,2.0,c04,Right
7.680291022000053,17.68012784200015,0.14576971909519637,0.1225024999956087,0.19743647199990297,0.08933408595872581,0.14922525693635538,0.03102204612396174,0.2125263885794619,0.12190996838524314,50%,3.0,c04,Right
8.356895290000008,15.842212200000118,0.1049321280027332,0.08763173511550085,0.19142780071231003,0.06215022305587436,0.10057376689487044,0.0188530022343922,0.17615749783784151,0.1018064871437054,50%,4.0,c04,Right
8.207782781999986,17.56076002000007,0.06073478607306944,0.10177673729366975,0.23304650236838328,0.07685582960905177,0.12479317347536151,0.017234349618804268,0.22440278709642372,0.11454295139385084,50%,5.0,c04,Right
7.726995956000008,16.08341882000005,0.0943466648411788,0.10569446254876122,0.20625693636344372,0.08577785112776298,0.11005905468435187,0.018019140106308958,0.1730621127829441,0.10371139042985568,50%,6.0,c04,Right
7.422399142000071,17.215147310000035,0.0683181163964654,0.10074180389408165,0.24330780248403375,0.07422566574963829,0.11898742202817511,0.014025375596395709,0.18080156049794938,0.11108133888350276,50%,7.0,c04,Right
7.829698415999975,17.22317867999998,0.09273897394947941,0.0961288466923155,0.21911222332560704,0.077895284115816,0.10682637147579799,0.012775430146611866,0.2151246790276939,0.1249981375623468,50%,8.0,c04,Right
8.157674006000002,16.122392739999857,0.08777534753641546,0.08878870762604842,0.1838126595529436,0.06864421471149168,0.09462373752400025,0.01637755285513603,0.14817085704545355,0.10488495743686377,50%,9.0,c04,Right
8.007216000000003,16.956122441999916,0.08442165065763425,0.0999461197965479,0.21200615452060523,0.0753546720265945,0.11002097205588347,0.01780146779015127,0.17575642764273097,0.10868323234801314,50%,10.0,c04,Right
8.434214819999957,2.931916786000009,0.11863346677356895,0.19022859194215547,0.08530493524068929,0.1115430586542771,0.0649351370500225,0.17191059979568157,0.23355665653225308,0.07001103753035746,10%,1.0,c07,Right
7.627047756000008,4.139059051999987,0.11605670456428842,0.17837113454197037,0.10614577404234364,0.1101258153226983,0.06231868477049817,0.2313621880549195,0.2486441873327295,0.07453984232300125,10%,2.0,c07,Right
8.246822032000049,4.165086869999981,0.1305105316020246,0.19631999226335556,0.09043314867544412,0.10857970769516417,0.06130105571235041,0.1635010583451585,0.24460659089965567,0.06785788505650849,10%,3.0,c07,Right
8.53592853800001,2.9638070559999954,0.12632213713386692,0.169251650225365,0.07561612199051125,0.10373057299179043,0.06307252606817723,0.22718450765611603,0.23747601719465777,0.05861075361067883,10%,4.0,c07,Right
8.352672869999921,2.773541000000018,0.13363745618907313,0.18417422371597697,0.09142329952833758,0.11283572678884567,0.0627754623646139,0.16269419947652097,0.23511571785418736,0.06684767334609648,10%,5.0,c07,Right
8.429531364000072,4.018206370000005,0.1557245988124721,0.18905336486965243,0.11781880322379842,0.12243193098268171,0.06625251112187464,0.16753716736104066,0.2436485583004119,0.10246782000576096,10%,6.0,c07,Right
8.531603796000029,4.063669872000004,0.11255353824402063,0.1883806159119542,0.11174259681242925,0.11844600370461257,0.06319857728127172,0.22905880421807773,0.24181213255030387,0.08394320740209794,10%,7.0,c07,Right
8.826466981999983,4.105277999999999,0.10765338829501608,0.18690048488643465,0.11984688140444018,0.12852871154335913,0.06931619140988747,0.23079435935224224,0.24247500173714623,0.08613076820743962,10%,8.0,c07,Right
8.303456530000053,3.0007960180000186,0.1048947600548463,0.19365257607657999,0.08797913994891031,0.11200282017210816,0.06308476134562091,0.2267368123313196,0.2427087131874166,0.07998522811516545,10%,9.0,c07,Right
8.577136776000003,4.0020097100000145,0.11829269881353704,0.1856293407404586,0.1108022341718107,0.12987189149062886,0.06653423524298117,0.22092105069623022,0.23696575096046305,0.08150775734734474,10%,10.0,c07,Right
8.398698586000016,9.064958999999957,0.14492260107270924,0.1874197020088455,0.1648417740261415,0.13699236115195332,0.06993106959190902,0.23592096766149087,0.26420551033278217,0.1631069150610495,30%,1.0,c07,Right
8.437015972000006,10.05384060000004,0.17809785109219642,0.21552856218098254,0.25609273088873014,0.218611175039502,0.11723978279812328,0.22754449055487766,0.2552861436945145,0.22115067714462258,30%,2.0,c07,Right
8.65595138799993,8.726004000000076,0.1678611283710294,0.2190128918683536,0.2273655593713839,0.18980540898104692,0.11598591334224911,0.16191926390083988,0.2570068795398746,0.18435546621297325,30%,3.0,c07,Right
8.825855242000008,10.100077000000049,0.1814628097262126,0.2354158763478722,0.21050648838779173,0.22043997537315102,0.12702375199816315,0.23246358987108098,0.2771289423400358,0.17564793585467167,30%,4.0,c07,Right
8.53750040600003,8.86286280800005,0.17627268230671087,0.22243973639420936,0.20582918324072147,0.20301083101131895,0.10922930355810573,0.25970169850403274,0.2546991723798823,0.1759323382321466,30%,5.0,c07,Right
8.71680607400001,10.016242130000007,0.1456681507488984,0.21477394852235987,0.2003419563794468,0.17878488380490257,0.11258272236000527,0.25135568194338925,0.2515037948756897,0.17703990620206114,30%,6.0,c07,Right
8.277380420000004,10.21547724399991,0.12638263421011608,0.1968324321374105,0.17429717661302468,0.1365004869350085,0.07219362961360745,0.23538637926557826,0.2459418219863468,0.15788151238378328,30%,7.0,c07,Right
7.66876939199995,10.09759716000005,0.17876811275849097,0.22286891720508784,0.2184835682982701,0.18262356757288556,0.10495335277465759,0.2341756812851627,0.24690517354158836,0.19325168782547317,30%,8.0,c07,Right
8.470301782000032,8.747171999999974,0.16322780393993258,0.20882562872397234,0.22561262788665315,0.19958301911476606,0.10679660015116522,0.2248708296090534,0.2379062468758632,0.19711474976185697,30%,9.0,c07,Right
8.403251087999974,8.864902328000051,0.173600640036446,0.23478016910118552,0.22231022142717777,0.19939839139747667,0.11462663784121808,0.19020467412104447,0.2378813132930435,0.2128539840574328,30%,10.0,c07,Right
8.465215421999988,12.379481609999878,0.2981512370686786,0.3040558486505934,0.3065686238390339,0.3034030365295089,0.18370535174759667,0.14798969500803483,0.25533899817537725,0.31171090945338387,50%,1.0,c07,Right
8.458922761999984,14.817123003999953,0.27007735738668326,0.2938358605998213,0.28895694539003214,0.270569879423872,0.18743071557875357,0.23675101389869618,0.28739764181774496,0.3416052134643674,50%,2.0,c07,Right
8.615237943999972,12.548055230000042,0.25669167595028286,0.3082911413257541,0.271832888852406,0.2690135771800534,0.18299419233702538,0.2604538137516966,0.3283561760063291,0.22944573547416375,50%,3.0,c07,Right
8.245592635999994,14.711589274000046,0.5205847387289908,0.4596774907511602,0.5851115206335156,0.4944777262370684,0.2884799189576053,0.25849043755555995,0.3196586496838366,0.32453780395904824,50%,4.0,c07,Right
8.240154132000029,14.577916779999981,0.5290812578725625,0.4691162609674771,0.6803339252601435,0.5436698922882149,0.30946798543586007,0.191557682415294,0.28413276465003967,0.3360004054570901,50%,5.0,c07,Right
8.587757098,14.629217773999924,0.4746359233445333,0.4261074263114853,0.5781330859829676,0.48446503609839314,0.2686614621626766,0.24765843951726005,0.26003353594556067,0.3561080531996312,50%,6.0,c07,Right
9.037293323999988,13.725155570000009,0.31710845934813164,0.3254842751509575,0.3599221147556046,0.3574013505858966,0.2107680549878217,0.21977735095288228,0.2878266912237323,0.22909748763449278,50%,7.0,c07,Right
8.587966699999969,13.463935250000148,0.3467853759446745,0.3440349787576064,0.39879501061480677,0.382942226575032,0.23961681082388464,0.21491191466605597,0.2557376097270624,0.3646574251544688,50%,8.0,c07,Right
8.438637396000027,14.22657576400014,0.4991817709657807,0.4166342348069708,0.5649485693406129,0.5049977567170617,0.28303292248278145,0.2056178548590554,0.26270596156477044,0.3979702017892432,50%,9.0,c07,Right
8.574266286000036,14.389615704000065,0.42321735393230486,0.3990588132728304,0.45945485458333074,0.43295793419470235,0.2594530284590036,0.23979337370301615,0.2823932324246963,0.4284015045557191,50%,10.0,c07,Right
5.578644958000021,9.550572567999938,0.26551518122389134,0.02700518504056683,0.21602739340506041,0.02794647312880402,0.04904976236080485,0.09158294865522094,0.20088247249306362,0.10077788392791312,30%,1.0,c02,Right
7.241437710000022,8.69819183999992,0.3197219993127429,0.04460106690768553,0.20129276527655213,0.03313736713317534,0.048975385302533134,0.14782172329021664,0.3050792890180908,0.10168258985686042,30%,2.0,c02,Right
6.212053635999974,8.452790450000023,0.21725654105016928,0.04212831016594173,0.14349810540001334,0.05065750611849599,0.05002636844636594,0.10398779940871598,0.13152390477616796,0.10085155061009218,30%,3.0,c02,Right
6.279572730000002,8.332024970000031,0.2880090914941588,0.03607056427009953,0.18696351938279274,0.044769288311022455,0.04996131897781404,0.1409644672796365,0.17603023282656302,0.10341200370299256,30%,4.0,c02,Right
6.622529142000055,8.436744549999998,0.24369454961319426,0.029772774694346936,0.19158273442675272,0.025740275303995228,0.04982091236096335,0.13065447811347267,0.1571074861999794,0.10532665012661542,30%,5.0,c02,Right
6.350276078000029,8.067342009999972,0.23654080332455654,0.03219875411448419,0.20787042639898615,0.027366737589785032,0.04986663295176715,0.17470412140684916,0.10554908858284175,0.10509980699950891,30%,6.0,c02,Right
6.122924855999967,8.190567749999952,0.2586756867984909,0.03578341273113536,0.1771791570526547,0.025747438035108716,0.038677265410718815,0.158537315494369,0.07965677452165927,0.07748864897087096,30%,7.0,c02,Right
6.293513878000014,8.315303190000005,0.24428846493403142,0.022987116621604145,0.2069228541559756,0.024640518212043366,0.05072245246122634,0.1443827052697604,0.11922553046337893,0.09726985417798975,30%,8.0,c02,Right
6.094983839999997,8.563072559999963,0.2578226673211646,0.025629724126486998,0.1975746306882208,0.028793657326447206,0.05037961378700276,0.15170809882733124,0.1081397195110441,0.10392042110082987,30%,9.0,c02,Right
6.066735241999985,9.82689899999999,0.20402252859750628,0.0289621076651147,0.22183472130079573,0.02999952740968721,0.05012754259607817,0.10483912454047008,0.13163380451660847,0.10060221329393194,30%,10.0,c02,Right
6.35685867000002,14.131682999999862,0.24701216498919315,0.031361996645451015,0.3005775068001075,0.055427325788344126,0.050286657692881015,0.0848684781894266,0.23635436509860985,0.11157699311883139,50%,1.0,c02,Right
6.496724329999987,15.51525779800013,0.3125906375544131,0.03955763535391648,0.3150519569571151,0.08171823687776236,0.04915198512977463,0.07213154508576246,0.2742291096519487,0.13065368070530697,50%,2.0,c02,Right
7.091655959999966,12.52337202999999,0.006816079107173732,0.03611163809317952,0.27362506390498537,0.0552721102239268,0.05081544662714278,0.07390726001726919,0.21925052747725376,0.11264091450028348,50%,3.0,c02,Right
7.412240271999983,13.659658378000023,0.00655232815221077,0.03999462154245402,0.308228192678349,0.07913388757468057,0.049319264981655356,0.048752323795202473,0.19967944528422,0.2143792132180871,50%,4.0,c02,Right
5.688860812000048,14.641267390000094,0.0067875959772126775,0.0445775253465729,0.35081299749302963,0.10316125663578146,0.049190191820732365,0.045460784484362596,0.21789616434042505,0.213716673139381,50%,5.0,c02,Right
6.273619605999984,13.207274760000075,0.006894806363424215,0.03331121316009801,0.3352937643678609,0.07148239917295826,0.05058263578473573,0.03457541023243218,0.2508656853617798,0.20885341255030165,50%,6.0,c02,Right
5.990796396000045,13.023205169999967,0.006680397335959023,0.03594090759523541,0.35127653323788444,0.08476495137630559,0.05110394127658724,0.06072112842976918,0.31639321025208733,0.1586980802422463,50%,7.0,c02,Right
6.518077963999918,12.33139399999989,0.006700742569526547,0.034366904195826053,0.3489929061096494,0.07746090869374561,0.05042605376226888,0.06371843906929252,0.3238468409012614,0.13183831528384873,50%,8.0,c02,Right
6.871079168000055,13.635634009999944,0.00689413078067799,0.04566769460363509,0.3395876418684009,0.08094449676492646,0.05006251597060314,0.047640410973432856,0.067439122638143,0.2029663914352572,50%,9.0,c02,Right
5.858230501999998,13.837489181999945,0.00678119441928848,0.04251089592358924,0.36636664899793514,0.0824932808756166,0.04966458342970228,0.05254218749682192,0.33519850610538965,0.14014399167682567,50%,10.0,c02,Right
6.0276636100000225,3.541310000000016,0.006758891300140691,0.02103209977437717,0.07201131568871913,0.02395694934147986,0.05048115524330511,0.11524204816327405,0.06892558615056207,0.10424774487832708,10%,1.0,c02,Right
7.331052478000041,2.553088120000017,0.006846082900972145,0.03136739727340263,0.0608843256317955,0.02512795950401774,0.05057369073032395,0.11086468229196542,0.09367269805573267,0.10713018752673548,10%,2.0,c02,Right
6.894540220000008,3.537982816000005,0.006737316616049599,0.028299740080869048,0.09851219075407577,0.023618741255021513,0.050146618382620474,0.06899432158290174,0.05271301388234902,0.09977932964174038,10%,3.0,c02,Right
5.682311480000027,3.4285799080000072,0.006685778441968249,0.022636363372548936,0.11322557051657993,0.02386592715393443,0.05013758957026026,0.03454173943900826,0.03500924082477975,0.1049167678574831,10%,4.0,c02,Right
5.674054000000037,3.541310000000016,0.0070446424159797665,0.027902018772144124,0.06444102349519022,0.02385256570784674,0.04938539352690076,0.08747363176470799,0.07821910143134035,0.10317770976689698,10%,5.0,c02,Right
5.560484137999984,3.3945599999999723,0.006845132918804498,0.02387926052875655,0.07190386382961299,0.024778588385868376,0.05023982756794797,0.0758859530843127,0.04264893631597868,0.10623863362108785,10%,6.0,c02,Right
5.508576432000017,3.3155669699999906,0.0068647329034229355,0.022555638798464134,0.10601216805797026,0.02445648742021815,0.05003538964436728,0.028333407887858427,0.06837344651920838,0.10566886682842935,10%,7.0,c02,Right
5.610806518000041,3.428325999999983,0.006507861246320896,0.02336224527120263,0.14365374190679317,0.026067263699425854,0.05077797454936539,0.023422374037765332,0.022212210024070547,0.10987314710441984,10%,8.0,c02,Right
5.661772879999958,3.2740409900000045,0.006651680913929143,0.026743519410301002,0.09384864600934287,0.02320682330785535,0.05034109308996767,0.03963378086495475,0.06210065421708859,0.10430267957958836,10%,9.0,c02,Right
5.31403748199999,3.431173180000012,0.007130884034643592,0.025805307520046873,0.0556476894329624,0.025022173306377262,0.04977439624210778,0.06298787106715775,0.09950736083174347,0.10342246641118401,10%,10.0,c02,Right
18.223579772000086,10.228887209999964,0.13409766482999785,0.022010552402267416,0.026571897784593946,0.023786160151568245,0.03440066617481467,0.04310609809821574,0.07852214366460651,0.018880661423567455,10%,1.0,c10,Right
18.413390311999997,10.327971060000039,0.2328444738221664,0.025687777466588672,0.03294624441881319,0.027456251085950185,0.04506660139084839,0.0512546505959748,0.09489330649594344,0.021965901584764986,10%,2.0,c10,Right
18.664990622000033,9.30749929800008,0.1781254320967544,0.02533888960378106,0.028753478492265182,0.023928647878137164,0.03926295766792298,0.05218142798259613,0.0986019483496098,0.02145504145869263,10%,3.0,c10,Right
17.15231434,11.54646142600001,0.18769179730046356,0.02418630270422509,0.029161459110854736,0.03196779515690486,0.037666679192033425,0.04214800179483938,0.09724114519064617,0.0393541068372404,10%,4.0,c10,Right
17.944143553999933,10.20340294000004,0.1384827780453647,0.024327801307355675,0.026549642873272737,0.023152314713183613,0.032356851610830954,0.043026320559325204,0.09019954556550568,0.030247053999382368,10%,5.0,c10,Right
18.876113152000112,10.559581873999967,0.11946994261720477,0.027533544385508348,0.025792510008456365,0.023692740883989944,0.03580465370019132,0.043162582016021384,0.09259315993785022,0.03615558123582927,10%,6.0,c10,Right
18.117699790000003,10.39019417799996,0.12186819406487515,0.023501175825185044,0.02631323582490971,0.02248870806621346,0.03488815960543884,0.045284656322393466,0.0980852543865879,0.043807381946837365,10%,7.0,c10,Right
17.33458410799996,10.12849425800002,0.09608224462130042,0.02438043642330374,0.023627593321220334,0.022496988657346426,0.03885042423054382,0.04447260359094585,0.08409563466850743,0.03605574127730202,10%,8.0,c10,Right
20.226962859999944,10.197689126000007,0.11486382625444325,0.02973612849988279,0.024505233636241488,0.0228380650466002,0.033193306180758705,0.044966242444310744,0.08287700009494668,0.03744646556839362,10%,9.0,c10,Right
15.970787079999996,8.79976607400001,0.06585310230378714,0.01927966402964826,0.024237143297525902,0.021125074283249085,0.03318992467554194,0.04199093888021972,0.07595692958036901,0.02760733539607277,10%,10.0,c10,Right
19.56223523799997,24.55099496399989,0.10789916640040473,0.023981998708880743,0.06760469403535908,0.05167630060747886,0.04604692766227471,0.05418023455707593,0.14423219072928825,0.1106187288537803,30%,1.0,c10,Right
18.960273372000017,29.565336711999944,0.07711938602100599,0.030967969698808644,0.0875074778631673,0.07610708276064598,0.07704951299879902,0.06974304803665533,0.1648205831673143,0.14331607441528618,30%,2.0,c10,Right
19.35389243200007,27.72891692200007,0.11972846528898112,0.02160082796762974,0.07226906810367172,0.059230518224411395,0.046544620319833,0.05354077256948207,0.15769863521079874,0.10289869203819625,30%,3.0,c10,Right
18.65208479799991,31.903094078000024,0.14409280249505219,0.034214662951953564,0.11648694735641826,0.09181000642819752,0.06592744474935294,0.04611964427069872,0.19231909452653131,0.18666280754757747,30%,4.0,c10,Right
19.08360954400006,28.095848627999946,0.0776337790900259,0.026316736306087475,0.08569880977615409,0.054506423668998244,0.03995911353106242,0.04189309389456034,0.16727320582058589,0.1061082005044783,30%,5.0,c10,Right
18.886910606000026,26.554220721999933,0.08487781621361977,0.029380924456335198,0.08907096529020496,0.08126831632920581,0.05820381881217093,0.04091265975139787,0.14733086574420645,0.12500277473179555,30%,6.0,c10,Right
20.803414486000005,28.66515037800009,0.1185172864077498,0.0282148742734408,0.09486116938782099,0.08680140640891346,0.0629489169959089,0.039094969688936075,0.1853127572228994,0.14758385903065147,30%,7.0,c10,Right
19.304766804000025,30.242238410000134,0.1613909018984553,0.028845638285967524,0.11893606347143576,0.09955929646925213,0.06713312126455502,0.04070907118753369,0.21195177315652666,0.14002434058187424,30%,8.0,c10,Right
19.226324018000007,28.88366352000004,0.1148521585011956,0.026701657075881378,0.10851572024009336,0.13259868414369833,0.08444580836130795,0.03964257888665152,0.2620136423022166,0.15556606215991123,30%,9.0,c10,Right
19.068488593999994,28.81451442000007,0.08636699285081367,0.030149542229392666,0.11444242109383139,0.09488373236007051,0.06237620876413373,0.040145007298514356,0.22197866852735135,0.1617097517058679,30%,10.0,c10,Right
20.49594844799998,44.491188132000026,0.0765747538015266,0.041646337622214764,0.1832439360367147,0.16854033827685252,0.11842510032452445,0.044095051032654084,0.31678525977594424,0.3523798121925644,50%,1.0,c10,Right
19.09486880199998,48.272099094000154,0.1752478343142121,0.08653038211522603,0.24311369672238262,0.20045011827820738,0.14141471316956575,0.05149110284671044,0.4252020262205299,0.3897042480791717,50%,2.0,c10,Right
20.49574979399996,42.89836375200013,0.2922064356224365,0.11036697485398163,0.18278043097871108,0.16934518318321132,0.1212568553343629,0.05493367424556986,0.31880605534119605,0.22767521358884657,50%,3.0,c10,Right
19.751772116000026,45.92784053999976,0.19910985297866343,0.09014828143945798,0.20212271330403864,0.18539889105544347,0.15226720066006227,0.053570242395883545,0.43273499817273775,0.33823285064635056,50%,4.0,c10,Right
18.230985494000034,44.74551347000008,0.3394780919305751,0.16777302477488523,0.22769416754523403,0.20516363915774227,0.16358589731051693,0.08704601080088738,0.34639519245768996,0.26843763898038986,50%,5.0,c10,Right
16.681989148,43.98144081799973,0.2215055201168275,0.09220029051051108,0.16453628285597435,0.16533382744179964,0.22043828250138317,0.05673243335075532,0.44642694606944744,0.29956604963040223,50%,6.0,c10,Right
19.48840073799998,44.10783809999993,0.17957016009569549,0.0680826544439022,0.22182684580856107,0.17155815871218297,0.10392241631196698,0.043555332918548836,0.31055021019459156,0.3089082174299909,50%,7.0,c10,Right
